id,applicant_id,collateral_id,segment,requested_amount,originated_year,base_ltv_override,status,opened_at
LA-071,AP-071,MY-KL-001,personal,1498000,2025,,in_review,2025-08-15
LA-072,AP-072,MY-KL-002,corporate,40890000,2025,,approved,2025-08-08
LA-073,AP-073,MY-KL-003,personal,1144000,2025,,approved,2025-03-13
LA-074,AP-074,MY-KL-004,corporate,19440000,2025,,open,2025-01-10
LA-075,AP-075,MY-KL-005,personal,728000,2025,,in_review,2025-09-13
LA-076,AP-076,MY-KL-006,corporate,46780000,2025,,conditionally_approved,2025-12-01
LA-077,AP-077,MY-KL-007,corporate,40820000,2025,,in_review,2025-01-06
LA-078,AP-078,MY-KL-008,personal,1246000,2025,,in_review,2025-11-13
LA-079,AP-079,MY-GT-001,personal,682000,2025,,conditionally_approved,2025-03-17
LA-080,AP-080,MY-GT-002,personal,368000,2025,,approved,2025-10-03
LA-081,AP-081,MY-GT-003,personal,675000,2025,,in_review,2025-04-01
LA-082,AP-082,MY-GT-004,personal,611000,2025,,open,2025-11-22
LA-083,AP-083,MY-GT-005,personal,391000,2025,,in_review,2025-03-15
LA-084,AP-084,MY-GT-006,corporate,11460000,2025,,open,2025-09-10
LA-085,AP-085,MY-GT-007,personal,775000,2025,,in_review,2025-12-25
LA-086,AP-086,MY-DB-001,personal,442000,2025,,in_review,2025-01-12
LA-087,AP-087,MY-DB-002,personal,483000,2025,,in_review,2025-10-04
LA-088,AP-088,MY-DB-003,personal,398000,2025,,in_review,2025-09-18
LA-089,AP-089,MY-DB-004,personal,515000,2025,,in_review,2025-03-01
LA-090,AP-090,MY-DB-005,personal,558000,2025,,conditionally_approved,2025-10-24
LA-091,AP-091,MY-DB-006,corporate,11440000,2025,,in_review,2025-03-11
LA-092,AP-092,MY-DB-007,personal,527000,2025,,in_review,2025-11-18
LA-093,AP-093,MY-DB-008,corporate,6720000,2025,,in_review,2025-01-23
LA-094,AP-094,MY-KK-001,corporate,8150000,2025,,in_review,2025-12-23
LA-095,AP-095,MY-KK-002,personal,658000,2025,,in_review,2025-06-18
LA-096,AP-096,MY-KK-003,personal,379000,2025,,in_review,2025-08-10
LA-097,AP-097,MY-KK-004,personal,409000,2025,,approved,2025-05-22
LA-098,AP-098,MY-KK-005,personal,503000,2025,,open,2025-06-10
LA-099,AP-099,MY-KK-006,personal,610000,2025,,open,2025-03-24
LA-100,AP-100,MY-KK-007,personal,763000,2025,,open,2025-11-09
LA-101,AP-101,ID-PL-001,personal,509000,2025,,open,2025-06-16
LA-102,AP-102,ID-PL-002,personal,855000,2025,,in_review,2025-10-02
LA-103,AP-103,ID-PL-003,corporate,9260000,2025,,in_review,2025-12-19
LA-104,AP-104,ID-PL-004,personal,811000,2025,,open,2025-09-09
LA-105,AP-105,ID-PL-005,personal,539000,2025,,in_review,2025-05-01
LA-106,AP-106,ID-PL-006,personal,450000,2025,,in_review,2025-02-20
LA-107,AP-107,ID-PL-007,corporate,8030000,2025,,in_review,2025-08-27
LA-108,AP-108,ID-PL-008,personal,504000,2025,,approved,2025-06-26
LA-109,AP-109,ID-PL-009,corporate,12000000,2025,,approved,2025-04-04
LA-110,AP-110,ID-PL-010,personal,509000,2025,,in_review,2025-05-23
LA-111,AP-111,ID-PL-011,personal,841000,2025,,approved,2025-08-22
LA-112,AP-112,ID-PL-012,personal,729000,2025,,conditionally_approved,2025-06-02
LA-113,AP-113,ID-CJ-001,personal,1037000,2025,,in_review,2025-04-26
LA-114,AP-114,ID-CJ-002,personal,1836000,2025,,open,2025-06-12
LA-115,AP-115,ID-CJ-003,corporate,20520000,2025,,in_review,2025-05-23
LA-116,AP-116,ID-CJ-004,personal,1202000,2025,,approved,2025-11-16
LA-117,AP-117,ID-CJ-005,corporate,26720000,2025,,in_review,2025-06-18
LA-118,AP-118,ID-CJ-006,corporate,24310000,2025,,in_review,2025-10-15
LA-119,AP-119,ID-BS-001,corporate,13890000,2025,,in_review,2025-06-03
LA-120,AP-120,ID-BS-002,corporate,5480000,2025,,in_review,2025-12-05
LA-121,AP-121,ID-BS-003,personal,464000,2025,,in_review,2025-02-17
LA-122,AP-122,ID-BS-004,personal,571000,2025,,in_review,2025-08-15
LA-123,AP-123,ID-BS-005,personal,967000,2025,,in_review,2025-11-07
LA-124,AP-124,ID-BS-006,personal,407000,2025,,in_review,2025-12-12
LA-125,AP-125,ID-BS-007,personal,808000,2025,,in_review,2025-02-06
LA-126,AP-126,ID-BS-008,personal,731000,2025,,open,2025-01-21
LA-127,AP-127,ID-SM-001,personal,420000,2025,,in_review,2025-07-10
LA-128,AP-128,ID-SM-002,corporate,9560000,2025,,in_review,2025-06-06
LA-129,AP-129,ID-SM-003,personal,557000,2025,,in_review,2025-12-17
LA-130,AP-130,ID-SM-004,personal,574000,2025,,open,2025-11-28
LA-131,AP-131,ID-SM-005,corporate,8280000,2025,,in_review,2025-06-14
LA-132,AP-132,ID-SM-006,personal,462000,2025,,in_review,2025-04-28
LA-133,AP-133,ID-SM-007,personal,578000,2025,,open,2025-11-16
LA-134,AP-134,ID-SB-001,corporate,9710000,2025,,in_review,2025-10-26
LA-135,AP-135,ID-SB-002,personal,633000,2025,,conditionally_approved,2025-08-09
LA-136,AP-136,ID-SB-003,personal,476000,2025,,approved,2025-09-02
LA-137,AP-137,ID-SB-004,personal,583000,2025,,conditionally_approved,2025-10-08
LA-138,AP-138,ID-SB-005,corporate,4850000,2025,,in_review,2025-10-15
LA-139,AP-139,ID-SB-006,personal,575000,2025,,in_review,2025-01-01
LA-140,AP-140,ID-SB-007,personal,664000,2025,,open,2025-03-17
LA-141,AP-141,CN-PD-001,personal,2442000,2025,,in_review,2025-03-14
LA-142,AP-142,CN-PD-002,corporate,24580000,2025,,in_review,2025-06-16
LA-143,AP-143,CN-PD-003,personal,2202000,2025,,in_review,2025-11-23
LA-144,AP-144,CN-PD-004,personal,2676000,2025,,open,2025-08-12
LA-145,AP-145,CN-PD-005,personal,2177000,2025,,in_review,2025-07-02
LA-146,AP-146,CN-PD-006,corporate,53130000,2025,,open,2025-06-18
LA-147,AP-147,CN-PD-007,corporate,49640000,2025,,in_review,2025-04-24
LA-148,AP-148,CN-PD-008,corporate,25060000,2025,,in_review,2025-07-23
LA-149,AP-149,CN-PD-009,corporate,25070000,2025,,in_review,2025-07-16
LA-150,AP-150,CN-PD-010,personal,2181000,2025,,approved,2025-01-21
LA-151,AP-151,CN-NS-001,personal,583000,2025,,in_review,2025-12-06
LA-152,AP-152,CN-NS-002,corporate,7420000,2025,,conditionally_approved,2025-01-28
LA-153,AP-153,CN-NS-003,personal,480000,2025,,approved,2025-05-05
LA-154,AP-154,CN-NS-004,corporate,6280000,2025,,open,2025-07-07
LA-155,AP-155,CN-NS-005,personal,809000,2025,,open,2025-03-09
LA-156,AP-156,CN-NS-006,personal,551000,2025,,open,2025-04-04
LA-157,AP-157,CN-NS-007,personal,803000,2025,,in_review,2025-08-03
LA-158,AP-158,CN-NS-008,corporate,12900000,2025,,approved,2025-03-24
LA-159,AP-159,CN-QH-001,corporate,14720000,2025,,conditionally_approved,2025-10-23
LA-160,AP-160,CN-QH-002,corporate,26220000,2025,,in_review,2025-03-12
LA-161,AP-161,CN-QH-003,personal,1552000,2025,,in_review,2025-11-19
LA-162,AP-162,CN-QH-004,personal,866000,2025,,approved,2025-02-21
LA-163,AP-163,CN-QH-005,personal,1357000,2025,,approved,2025-11-02
LA-164,AP-164,CN-QH-006,corporate,11240000,2025,,approved,2025-10-14
LA-165,AP-165,CN-QH-007,personal,1466000,2025,,open,2025-05-25
LA-166,AP-166,CN-XM-001,corporate,14350000,2025,,conditionally_approved,2025-11-13
LA-167,AP-167,CN-XM-002,personal,733000,2025,,conditionally_approved,2025-01-27
LA-168,AP-168,CN-XM-003,personal,705000,2025,,in_review,2025-07-10
LA-169,AP-169,CN-XM-004,personal,1124000,2025,,in_review,2025-08-13
LA-170,AP-170,CN-XM-005,personal,954000,2025,,in_review,2025-04-22
LA-171,AP-171,CN-NB-001,personal,1164000,2025,,approved,2025-02-22
LA-172,AP-172,CN-NB-002,personal,719000,2025,,in_review,2025-10-27
LA-173,AP-173,CN-NB-003,personal,653000,2025,,in_review,2025-02-14
LA-174,AP-174,CN-NB-004,personal,925000,2025,,open,2025-01-15
LA-175,AP-175,CN-NB-005,corporate,7750000,2025,,approved,2025-10-05
LA-176,AP-176,HK-TK-001,personal,948000,2025,,in_review,2025-03-23
LA-177,AP-177,HK-TK-002,personal,1780000,2025,,in_review,2025-04-13
LA-178,AP-178,HK-TK-003,personal,1344000,2025,,in_review,2025-05-04
LA-179,AP-179,HK-TK-004,corporate,10980000,2025,,in_review,2025-10-21
LA-180,AP-180,HK-TK-005,corporate,12810000,2025,,in_review,2025-05-16
LA-181,AP-181,HK-TK-006,personal,1916000,2025,,conditionally_approved,2025-09-04
LA-182,AP-182,HK-HF-001,corporate,7340000,2025,,conditionally_approved,2025-03-20
LA-183,AP-183,HK-HF-002,personal,965000,2025,,approved,2025-01-01
LA-184,AP-184,HK-HF-003,personal,1161000,2025,,approved,2025-09-07
LA-185,AP-185,HK-HF-004,personal,1491000,2025,,in_review,2025-06-18
LA-186,AP-186,HK-HF-005,personal,916000,2025,,approved,2025-02-01
LA-187,AP-187,HK-KT-001,personal,1322000,2025,,in_review,2025-08-10
LA-188,AP-188,HK-KT-002,personal,1456000,2025,,approved,2025-06-02
LA-189,AP-189,HK-KT-003,corporate,11890000,2025,,approved,2025-05-01
LA-190,AP-190,HK-KT-004,corporate,24930000,2025,,in_review,2025-08-07
LA-191,AP-191,HK-KT-005,personal,2250000,2025,,open,2025-07-16
LA-192,AP-192,HK-TP-001,corporate,10780000,2025,,approved,2025-05-18
LA-193,AP-193,HK-TP-002,personal,1989000,2025,,in_review,2025-06-08
LA-194,AP-194,HK-TP-003,personal,2068000,2025,,in_review,2025-02-27
LA-195,AP-195,HK-TP-004,personal,1610000,2025,,approved,2025-05-02
LA-196,AP-196,HK-TP-005,personal,1183000,2025,,open,2025-02-17
LA-197,AP-197,HK-TC-001,corporate,6650000,2025,,conditionally_approved,2025-03-15
LA-198,AP-198,HK-TC-002,personal,827000,2025,,open,2025-12-25
LA-199,AP-199,HK-TC-003,personal,1360000,2025,,conditionally_approved,2025-02-03
LA-200,AP-200,HK-TC-004,personal,1107000,2025,,in_review,2025-12-02
