collateral_id,suhi_tertile,ndvi_tertile,dataset_name,dataset_version,sampled_at
SG-BT-006,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-007,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-008,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-009,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-010,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-003,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-004,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-005,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-006,0,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-007,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-008,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-009,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-SA-010,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-001,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-005,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KL-008,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-001,2,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-002,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-003,0,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-004,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-005,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-006,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-GT-007,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-002,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-003,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-004,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-005,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-006,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-007,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-DB-008,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-001,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-002,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-003,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-004,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-005,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-006,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
MY-KK-007,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-001,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-008,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-009,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-010,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-011,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-PL-012,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-CJ-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-CJ-002,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-CJ-003,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-CJ-004,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-CJ-005,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-CJ-006,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-001,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-002,2,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-003,2,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-004,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-005,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-006,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-007,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-BS-008,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-006,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SM-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-001,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
ID-SB-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-001,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-002,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-007,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-008,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-009,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-PD-010,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-002,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-003,2,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-004,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-005,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-006,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-007,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NS-008,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-001,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-QH-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-XM-001,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-XM-002,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-XM-003,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-XM-004,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-XM-005,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NB-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NB-002,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NB-003,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NB-004,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
CN-NB-005,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TK-001,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TK-002,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TK-003,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TK-004,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TK-005,0,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TK-006,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-HF-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-HF-002,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-HF-003,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-HF-004,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-HF-005,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-KT-001,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-KT-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-KT-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-KT-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-KT-005,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TP-001,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TP-002,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TP-003,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TP-004,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TP-005,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TC-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TC-002,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TC-003,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
HK-TC-004,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
