id,collateral_id,hazard,scenario,value,coverage,scenario_invariant,unit,dataset_name,dataset_version,pathway,return_period_yrs,sampled_at
HS-00031,SG-MS-003,flood_riverine,today,0.69,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00032,SG-MS-003,flood_coastal,today,0.56,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00033,SG-MS-003,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00034,SG-MS-003,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00035,SG-MS-003,pm25,today,17.3,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00036,SG-MS-003,flood_riverine,y2030,0.77,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00037,SG-MS-003,flood_coastal,y2030,0.85,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00038,SG-MS-003,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00039,SG-MS-003,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00040,SG-MS-003,pm25,y2030,17.3,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00041,SG-MS-003,flood_riverine,y2050,0.86,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00042,SG-MS-003,flood_coastal,y2050,1.16,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00043,SG-MS-003,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00044,SG-MS-003,heat_days35,y2050,16.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00045,SG-MS-003,pm25,y2050,17.3,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00046,SG-MS-004,flood_riverine,today,0.7,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00047,SG-MS-004,flood_coastal,today,1.37,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00048,SG-MS-004,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00049,SG-MS-004,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00050,SG-MS-004,pm25,today,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00051,SG-MS-004,flood_riverine,y2030,0.79,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00052,SG-MS-004,flood_coastal,y2030,1.82,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00053,SG-MS-004,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00054,SG-MS-004,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00055,SG-MS-004,pm25,y2030,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00056,SG-MS-004,flood_riverine,y2050,0.87,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00057,SG-MS-004,flood_coastal,y2050,2.28,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00058,SG-MS-004,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00059,SG-MS-004,heat_days35,y2050,17.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00060,SG-MS-004,pm25,y2050,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00061,SG-MS-005,flood_riverine,today,0.18,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00062,SG-MS-005,flood_coastal,today,0.0,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00063,SG-MS-005,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00064,SG-MS-005,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00065,SG-MS-005,pm25,today,17.1,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00066,SG-MS-005,flood_riverine,y2030,0.2,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00067,SG-MS-005,flood_coastal,y2030,0.02,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00068,SG-MS-005,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00069,SG-MS-005,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00070,SG-MS-005,pm25,y2030,17.1,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00071,SG-MS-005,flood_riverine,y2050,0.22,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00072,SG-MS-005,flood_coastal,y2050,0.11,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00073,SG-MS-005,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00074,SG-MS-005,heat_days35,y2050,16.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00075,SG-MS-005,pm25,y2050,17.1,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00076,SG-MS-006,flood_riverine,today,0.24,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00077,SG-MS-006,flood_coastal,today,0.0,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00078,SG-MS-006,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00079,SG-MS-006,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00080,SG-MS-006,pm25,today,17.4,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00081,SG-MS-006,flood_riverine,y2030,0.27,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00082,SG-MS-006,flood_coastal,y2030,0.04,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00083,SG-MS-006,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00084,SG-MS-006,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00085,SG-MS-006,pm25,y2030,17.4,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00086,SG-MS-006,flood_riverine,y2050,0.3,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00087,SG-MS-006,flood_coastal,y2050,0.13,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00088,SG-MS-006,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00089,SG-MS-006,heat_days35,y2050,15.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00090,SG-MS-006,pm25,y2050,17.4,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00091,SG-MS-007,flood_riverine,today,0.35,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00092,SG-MS-007,flood_coastal,today,0.11,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00093,SG-MS-007,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00094,SG-MS-007,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00095,SG-MS-007,pm25,today,16.6,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00096,SG-MS-007,flood_riverine,y2030,0.39,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00097,SG-MS-007,flood_coastal,y2030,0.27,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00098,SG-MS-007,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00099,SG-MS-007,heat_days35,y2030,6.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00100,SG-MS-007,pm25,y2030,16.6,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00101,SG-MS-007,flood_riverine,y2050,0.43,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00102,SG-MS-007,flood_coastal,y2050,0.48,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00103,SG-MS-007,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00104,SG-MS-007,heat_days35,y2050,18.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00105,SG-MS-007,pm25,y2050,16.6,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00106,SG-MS-008,flood_riverine,today,0.19,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00107,SG-MS-008,flood_coastal,today,0.0,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00108,SG-MS-008,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00109,SG-MS-008,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00110,SG-MS-008,pm25,today,17.4,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00111,SG-MS-008,flood_riverine,y2030,0.22,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00112,SG-MS-008,flood_coastal,y2030,0.03,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00113,SG-MS-008,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00114,SG-MS-008,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00115,SG-MS-008,pm25,y2030,17.4,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00116,SG-MS-008,flood_riverine,y2050,0.24,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00117,SG-MS-008,flood_coastal,y2050,0.13,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00118,SG-MS-008,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00119,SG-MS-008,heat_days35,y2050,18.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00120,SG-MS-008,pm25,y2050,17.4,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00121,SG-MS-009,flood_riverine,today,0.43,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00122,SG-MS-009,flood_coastal,today,0.29,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00123,SG-MS-009,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00124,SG-MS-009,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00125,SG-MS-009,pm25,today,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00126,SG-MS-009,flood_riverine,y2030,0.48,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00127,SG-MS-009,flood_coastal,y2030,0.53,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00128,SG-MS-009,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00129,SG-MS-009,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00130,SG-MS-009,pm25,y2030,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00131,SG-MS-009,flood_riverine,y2050,0.54,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00132,SG-MS-009,flood_coastal,y2050,0.8,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00133,SG-MS-009,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00134,SG-MS-009,heat_days35,y2050,17.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00135,SG-MS-009,pm25,y2050,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00136,SG-MS-010,flood_riverine,today,0.28,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00137,SG-MS-010,flood_coastal,today,0.0,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00138,SG-MS-010,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00139,SG-MS-010,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00140,SG-MS-010,pm25,today,16.7,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00141,SG-MS-010,flood_riverine,y2030,0.32,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00142,SG-MS-010,flood_coastal,y2030,0.04,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00143,SG-MS-010,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00144,SG-MS-010,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00145,SG-MS-010,pm25,y2030,16.7,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00146,SG-MS-010,flood_riverine,y2050,0.35,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00147,SG-MS-010,flood_coastal,y2050,0.14,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00148,SG-MS-010,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00149,SG-MS-010,heat_days35,y2050,16.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00150,SG-MS-010,pm25,y2050,16.7,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00151,SG-EC-001,flood_riverine,today,0.52,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00152,SG-EC-001,flood_coastal,today,0.25,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00153,SG-EC-001,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00154,SG-EC-001,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00155,SG-EC-001,pm25,today,16.6,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00156,SG-EC-001,flood_riverine,y2030,0.58,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00157,SG-EC-001,flood_coastal,y2030,0.48,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00158,SG-EC-001,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00159,SG-EC-001,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00160,SG-EC-001,pm25,y2030,16.6,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00161,SG-EC-001,flood_riverine,y2050,0.65,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00162,SG-EC-001,flood_coastal,y2050,0.74,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00163,SG-EC-001,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00164,SG-EC-001,heat_days35,y2050,17.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00165,SG-EC-001,pm25,y2050,16.6,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00166,SG-EC-002,flood_riverine,today,0.41,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00167,SG-EC-002,flood_coastal,today,0.29,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00168,SG-EC-002,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00169,SG-EC-002,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00170,SG-EC-002,pm25,today,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00171,SG-EC-002,flood_riverine,y2030,0.46,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00172,SG-EC-002,flood_coastal,y2030,0.55,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
