id,address_line,cluster_name,country,lat,lon,building_type,occupancy_class,appraised_value_sgd,floor_level,elevation_m,dist_to_coast_km,adaptation_project_id
MY-GT-007,"131 Lebuh Pantai, George Town, Pulau Pinang",George Town coastal,MY,5.408047,100.325096,residential_highrise_rc,rc_highrise,1110000,34,5.9,0.94,
MY-DB-001,"257 Jalan Skudai, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.460029,103.697209,residential_highrise_rc,rc_highrise,720000,28,5.4,0.73,
MY-DB-002,"177 Jalan Tebrau, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.46925,103.70103,residential_highrise_rc,rc_highrise,780000,12,2.9,0.36,
MY-DB-003,"139 Persiaran Danga, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.479686,103.701552,residential_highrise_rc,rc_highrise,630000,40,2.7,0.56,
MY-DB-004,"63 Jalan Danga, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.454904,103.720707,residential_landed,lowrise_industrial,810000,1,6.8,0.8,
MY-DB-005,"27 Jalan Tebrau, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.463741,103.710504,residential_landed,lowrise_industrial,1000000,1,9.3,1.22,
MY-DB-006,"356 Jalan Abdul Samad, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.476503,103.710058,industrial_warehouse,lowrise_industrial,22800000,2,9.5,1.28,
MY-DB-007,"193 Jalan Skudai, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.466396,103.694724,residential_highrise_rc,rc_highrise,880000,6,9.2,1.29,
MY-DB-008,"253 Jalan Abdul Samad, Johor Bahru, Johor","Danga Bay, Johor Bahru",MY,1.48533,103.70881,industrial_warehouse,lowrise_industrial,12300000,1,3.4,0.78,
MY-KK-001,"8 Jalan Tuaran, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.986584,116.06695,retail_podium,rc_highrise,17500000,5,10.8,1.42,
MY-KK-002,"324 Jalan Coastal, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.982252,116.084265,residential_highrise_rc,rc_highrise,890000,16,9.7,1.23,
MY-KK-003,"307 Jalan Tuaran, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.963114,116.069881,residential_landed,lowrise_industrial,630000,3,12.2,1.3,
MY-KK-004,"306 Jalan Lintas, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.961084,116.05665,residential_highrise_rc,rc_highrise,720000,6,5.4,0.57,
MY-KK-005,"238 Jalan Sembulan, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.985002,116.075908,residential_highrise_rc,rc_highrise,890000,19,8.0,1.21,
MY-KK-006,"207 Jalan Sembulan, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.978073,116.058035,residential_highrise_rc,rc_highrise,870000,27,13.7,1.45,
MY-KK-007,"272 Jalan Tuaran, Kota Kinabalu, Sabah",Kota Kinabalu,MY,5.974136,116.083034,residential_landed,lowrise_industrial,1090000,1,5.6,0.69,
ID-PL-001,"270 Jalan Pluit Karang Ayu, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.117332,106.777832,residential_landed,lowrise_industrial,780000,1,2.0,1.88,
ID-PL-002,"18 Jalan Lodan Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.121301,106.774377,residential_highrise_rc,rc_highrise,1440000,38,0.3,0.74,
ID-PL-003,"7 Jalan Muara Baru Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.122746,106.800068,retail_podium,rc_highrise,21900000,4,-0.3,0.68,id-ncicd-phase-a
ID-PL-004,"309 Jalan Muara Baru Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.123395,106.775786,residential_highrise_rc,rc_highrise,1300000,30,0.6,1.02,id-ncicd-phase-a
ID-PL-005,"139 Jalan Muara Baru Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.115413,106.794747,residential_highrise_rc,rc_highrise,930000,12,0.7,1.27,
ID-PL-006,"181 Jalan Pluit Selatan, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.104512,106.798183,residential_landed,lowrise_industrial,680000,2,1.5,1.64,
ID-PL-007,"356 Jalan Pluit Karang Ayu, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.12803,106.782617,retail_podium,rc_highrise,14600000,4,-0.2,0.73,
ID-PL-008,"231 Jalan Muara Baru Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.120882,106.783926,residential_landed,lowrise_industrial,730000,3,2.0,1.94,id-ncicd-phase-a
ID-PL-009,"331 Jalan Muara Baru Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.114473,106.780542,industrial_warehouse,lowrise_industrial,21100000,1,1.5,1.11,
ID-PL-010,"361 Jalan Lodan Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.120271,106.803835,residential_highrise_rc,rc_highrise,800000,15,-0.2,0.39,id-ncicd-phase-a
ID-PL-011,"61 Jalan Pluit Selatan, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.10417,106.782428,residential_highrise_rc,rc_highrise,1270000,25,0.3,0.85,
ID-PL-012,"103 Jalan Muara Baru Raya, Penjaringan, Jakarta Utara",Pluit / Muara Baru / Ancol,ID,-6.119617,106.785447,residential_highrise_rc,rc_highrise,1260000,9,1.9,1.35,
ID-CJ-001,"169 Jalan Menteng Raya, Menteng, Jakarta Pusat",Central Jakarta,ID,-6.174184,106.822898,residential_landed,lowrise_industrial,1600000,3,4.9,5.82,
ID-CJ-002,"251 Jalan Cikini Raya, Menteng, Jakarta Pusat",Central Jakarta,ID,-6.180222,106.841955,residential_highrise_rc,rc_highrise,2600000,3,11.6,8.45,id-ncicd-phase-a
ID-CJ-003,"350 Jalan Cikini Raya, Menteng, Jakarta Pusat",Central Jakarta,ID,-6.180768,106.827465,office_tower,rc_highrise,47900000,1,5.0,5.39,id-ncicd-phase-a
ID-CJ-004,"324 Jalan Sudirman, Menteng, Jakarta Pusat",Central Jakarta,ID,-6.196863,106.823664,residential_highrise_rc,rc_highrise,1870000,29,5.1,5.59,id-ncicd-phase-a
ID-CJ-005,"166 Jalan Cikini Raya, Menteng, Jakarta Pusat",Central Jakarta,ID,-6.172995,106.828562,office_tower,rc_highrise,58100000,10,9.1,6.83,id-ncicd-phase-a
ID-CJ-006,"188 Jalan M.H. Thamrin, Menteng, Jakarta Pusat",Central Jakarta,ID,-6.179826,106.822238,office_tower,rc_highrise,60500000,8,4.8,6.51,
ID-BS-001,"382 Jalan Edutown, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.292375,106.6656,office_tower,rc_highrise,25500000,20,52.9,28.0,
ID-BS-002,"291 Jalan Grand Boulevard, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.282117,106.655613,office_tower,rc_highrise,11700000,26,30.9,23.55,
ID-BS-003,"153 Jalan Grand Boulevard, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.285004,106.675199,residential_highrise_rc,rc_highrise,820000,30,41.4,25.58,
ID-BS-004,"106 Jalan Raya Serpong, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.285829,106.654604,residential_landed,lowrise_industrial,910000,1,26.3,24.5,
ID-BS-005,"98 Jalan Raya Serpong, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.301043,106.644102,residential_landed,lowrise_industrial,1310000,2,47.3,27.07,
ID-BS-006,"242 Jalan Raya Serpong, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.306254,106.669339,residential_landed,lowrise_industrial,740000,2,44.6,25.61,
ID-BS-007,"321 Jalan Grand Boulevard, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.289022,106.651443,residential_highrise_rc,rc_highrise,1240000,2,33.4,22.98,
ID-BS-008,"296 Jalan Grand Boulevard, BSD City, Tangerang Selatan","BSD City, Tangerang",ID,-6.309461,106.66082,residential_highrise_rc,rc_highrise,1100000,16,43.1,26.48,
ID-SM-001,"81 Jalan Kaligawe Raya, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.951874,110.407431,residential_landed,lowrise_industrial,760000,1,1.8,1.95,id-banger-polder
ID-SM-002,"336 Jalan Ronggowarsito, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.955901,110.435103,industrial_warehouse,lowrise_industrial,17500000,2,0.3,0.63,id-banger-polder
ID-SM-003,"205 Jalan Tanah Mas, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.951601,110.427008,residential_highrise_rc,rc_highrise,750000,8,0.1,1.24,
ID-SM-004,"185 Jalan Ronggowarsito, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.936102,110.433972,residential_highrise_rc,rc_highrise,770000,33,1.5,1.68,id-banger-polder
ID-SM-005,"9 Jalan Ronggowarsito, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.940235,110.42306,shophouse_mixed,lowrise_industrial,18900000,3,2.4,2.5,id-banger-polder
ID-SM-006,"201 Jalan Kaligawe Raya, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.940205,110.414491,residential_landed,lowrise_industrial,810000,1,0.5,1.13,id-banger-polder
ID-SM-007,"169 Jalan Tanah Mas, Semarang Utara, Jawa Tengah",Semarang north coast,ID,-6.960766,110.405463,residential_highrise_rc,rc_highrise,840000,14,2.1,2.31,
ID-SB-001,"124 Jalan Basuki Rahmat, Surabaya, Jawa Timur",Surabaya,ID,-7.233873,112.718448,retail_podium,rc_highrise,19000000,1,4.3,3.88,
ID-SB-002,"356 Jalan Perak Barat, Surabaya, Jawa Timur",Surabaya,ID,-7.237118,112.724787,residential_landed,lowrise_industrial,1080000,1,1.6,2.91,
ID-SB-003,"94 Jalan Basuki Rahmat, Surabaya, Jawa Timur",Surabaya,ID,-7.239726,112.751668,residential_highrise_rc,rc_highrise,770000,16,6.2,4.53,
ID-SB-004,"91 Jalan Kenjeran, Surabaya, Jawa Timur",Surabaya,ID,-7.215132,112.74885,residential_highrise_rc,rc_highrise,940000,2,5.3,5.31,
ID-SB-005,"134 Jalan Rungkut Industri, Surabaya, Jawa Timur",Surabaya,ID,-7.218986,112.726666,retail_podium,rc_highrise,9200000,5,8.1,6.91,
ID-SB-006,"113 Jalan Kenjeran, Surabaya, Jawa Timur",Surabaya,ID,-7.22803,112.737772,residential_highrise_rc,rc_highrise,860000,26,8.9,5.57,
ID-SB-007,"65 Jalan Rungkut Industri, Surabaya, Jawa Timur",Surabaya,ID,-7.212645,112.753049,residential_landed,lowrise_industrial,1100000,2,4.7,5.22,
CN-PD-001,"255 Pudong South Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.229034,121.516167,residential_highrise_rc,rc_highrise,3680000,24,3.4,15.74,
CN-PD-002,"144 Yincheng Middle Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.238489,121.517768,office_tower,rc_highrise,52900000,6,5.9,19.25,
CN-PD-003,"191 Century Avenue, Pudong, Shanghai",Pudong / Lujiazui,CN,31.232613,121.520277,residential_landed,lowrise_industrial,3810000,3,6.0,19.39,cn-shanghai-seawall
CN-PD-004,"28 Yincheng Middle Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.234484,121.499149,residential_highrise_rc,rc_highrise,3630000,22,6.1,20.93,cn-shanghai-seawall
CN-PD-005,"351 Lujiazui Ring Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.223647,121.518263,residential_highrise_rc,rc_highrise,3460000,22,3.6,16.19,cn-shanghai-seawall
CN-PD-006,"129 Yincheng Middle Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.243356,121.49035,office_tower,rc_highrise,97200000,13,4.6,17.84,cn-shanghai-seawall
CN-PD-007,"394 Pudong South Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.22341,121.519914,office_tower,rc_highrise,106900000,25,3.6,14.54,cn-shanghai-seawall
CN-PD-008,"240 Dongyuan Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.231299,121.50925,office_tower,rc_highrise,60900000,6,4.3,15.16,cn-shanghai-seawall
CN-PD-009,"86 Yincheng Middle Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.220278,121.507564,retail_podium,rc_highrise,44500000,5,4.2,17.78,
CN-PD-010,"254 Pudong South Road, Pudong, Shanghai",Pudong / Lujiazui,CN,31.222222,121.502767,residential_highrise_rc,rc_highrise,3550000,23,3.1,15.21,cn-shanghai-seawall
CN-NS-001,"388 Haibin Road, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.75438,113.55767,residential_highrise_rc,rc_highrise,860000,2,1.5,4.5,
